Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
.,com.group24.trelloclone.board,BoardServiceImplTests,setUp,11,1,0
.,com.group24.trelloclone.board,BoardServiceImplTests,saveBoardTest,4,1,0
.,com.group24.trelloclone.board,BoardServiceImplTests,getBoardsTest,4,1,0
.,com.group24.trelloclone.board,BoardServiceImplTests,getBoardsByIDTest,4,1,0
.,com.group24.trelloclone.board,BoardServiceImplTests,getBoardByIdTest,4,1,0
.,com.group24.trelloclone.board,BoardServiceImplTests,deleteBoardTest,4,1,0
.,com.group24.trelloclone.board,BoardServiceImplTests,updateBoardNameTest,2,1,0
.,com.group24.trelloclone.board,BoardServiceImplTests,updateBoardDescriptionTest,2,1,0
.,com.group24.trelloclone.board,BoardServiceImplTests,deleteAllBoardsTest,4,1,0
.,com.group24.trelloclone.workspace,WorkspaceServiceImplTests,setUp,12,1,0
.,com.group24.trelloclone.workspace,WorkspaceServiceImplTests,deleteBoardTest,8,1,0
.,com.group24.trelloclone.workspace,WorkspaceServiceImplTests,addBoardTest,7,1,0
.,com.group24.trelloclone.workspace,WorkspaceServiceImplTests,getAllWorkspacesTest,4,1,0
.,com.group24.trelloclone.workspace,WorkspaceServiceImplTests,getWorkspaceByIdTest,4,1,0
.,com.group24.trelloclone.workspace,WorkspaceServiceImplTests,saveWorkspaceTest,4,1,0
.,com.group24.trelloclone.workspace,WorkspaceServiceImplTests,addUserTest,7,1,0
.,com.group24.trelloclone.workspace,WorkspaceServiceImplTests,updateWorkspaceTest,5,1,0
.,com.group24.trelloclone.user,UserServiceImplTests,build,9,1,0
.,com.group24.trelloclone.user,UserServiceImplTests,addUserTest,4,1,0
.,com.group24.trelloclone.user,UserServiceImplTests,getUserByIdTest,4,1,0
.,com.group24.trelloclone.user,UserServiceImplTests,getAllUsersTest,4,1,0
.,com.group24.trelloclone.user,UserServiceImplTests,getUserByEmailIdTest,4,1,0
.,com.group24.trelloclone.user,UserServiceImplTests,deleteAllUsersTest,4,1,0
.,com.group24.trelloclone.user,UserServiceImplTests,validateUserTest,10,1,0
.,com.group24.trelloclone.user,UserServiceImplTests,validateUserFalseEmail,10,1,0
.,com.group24.trelloclone.user,UserServiceImplTests,updatePasswordTest,10,1,0
.,com.group24.trelloclone.user,UserServiceImplTests,updateUserTest,5,1,0
.,com.group24.trelloclone.task,TaskServiceImplTests,createTaskTest,7,1,0
.,com.group24.trelloclone,TrelloCloneApplication,main,3,1,1
.,com.group24.trelloclone.board.controller,BoardController,saveBoard,3,1,1
.,com.group24.trelloclone.board.controller,BoardController,deleteBoard,3,1,1
.,com.group24.trelloclone.board.controller,BoardController,getBoards,3,1,0
.,com.group24.trelloclone.board.controller,BoardController,getBoardsByID,3,1,1
.,com.group24.trelloclone.board.controller,BoardController,getWorkspaceById,4,1,1
